kanji,meaning
禍,calamidad
禍,desgracia
禍,infortunio
稼,ganancias
稼,sueldo
稼,trabajar
稼,"ganarse la vida"
箇,"contador y enumerador para cosas"
花,flor
茄,berenjena
荷,bulto
荷,carga
荷,"llevar una cargar"
荷,"contador para bultos"
荷,equipaje
華,flor
華,pétalo
華,esplendor
華,vistoso
菓,caramelos
菓,dulces
菓,pasteles
課,capitulo
課,lección
課,sección
課,departamento
課,división
貨,dinero
貨,moneda
貨,bienes
貨,artículos
迦,"sonido ""ka"" en sánscrito"
過,pasar
過,extralimitarse
過,exceder
過,fallo
過,error
過,traspasar
過,fallar
霞,neblina
霞,bruma
霞,"estar brumoso"
霞,"estar nebuloso"
蚊,mosquito
峨,"montaña alta"
我,yo
我,"uno mismo"
我,ego
牙,colmillo
画,dibujo
画,trazo
画,puntuar
画,interrumpir
臥,inclinación
臥,reverencia
臥,inclinarse
臥,postrarse
臥,"echarse (por sueño o enfermedad)"
芽,brote
芽,germen
蛾,polilla
賀,felicitaciones
賀,enhorabuena
賀,alegría
雅,elegante
雅,refinado
雅,gracioso
餓,hambre
餓,"estar hambriento"
駕,subir
駕,"montar (caballo)"
駕,vehículo
駕,superar
駕,vencer
介,intervención
介,ayuda
介,mediación
介,"cosa aburrida"
会,asociación
会,reunión
会,"encontrarse con"
会,reunirse
解,desenredar
解,desatar
解,liberar
解,aclarar
解,resolver
解,peinarse
解,aflojar
回,girar
回,"volver al principio"
回,evitar
回,vez
回,"dar vueltas"
回,rodar
塊,conglomerado
塊,terrón
塊,masa
塊,aglomeración
壊,colapso
壊,derrumbe
壊,destrucción
壊,romper
壊,romperse
壊,averiarse
廻,giro
廻,rotación
廻,vuelta
廻,girar
廻,voltear
廻,"dar vueltas"
快,agradable
快,bueno
快,curarse
快,rápido
快,placentero
怪,desconfiado
怪,receloso
怪,misterio
怪,fantasma
怪,sospechoso
怪,desconfiar
怪,recelar
怪,dudar
怪,sospechar
悔,arrepentirse
悔,lamentar
悔,sentir
悔,"llevar luto"
悔,lamentable
懐,añoranza
懐,nostalgia
懐,"bolsillo propio"
懐,añorar
懐,"echar de menos"
懐,pensar
戒,"poner cuidado"
戒,mandamiento
戒,orden
戒,ordenar
戒,advertir
戒,instruir
拐,secuestrar
拐,raptar
改,reforma
改,cambio
改,investigación
改,cambiar
改,reformar
改,renovar
改,revisar
改,investigar
魁,carga
械,artilugio
械,aparato
械,máquina
械,instrumento
海,mar
海,océano
海,playa
灰,ceniza
灰,cremar
界,borde
界,frontera
界,extensión
界,ámbito
皆,todo
皆,todos
皆,"cada uno"
絵,cuadro
絵,dibujo
絵,pintura
芥,desperdicio
芥,basura
芥,mostaza
蟹,cangrejo
開,abrir
開,desdoblar
開,"dar comienzo"
開,abrirse
開,"estar abierto"
階,piso
階,nivel
階,grado
階,posición
貝,concha
凱,"grito de victoria"
凱,victoria
劾,censura
外,fuera
外,exterior
外,otro
外,desatar
外,"estar desatado"
外,"estar desconectado"
咳,tos
害,desastre
害,obstáculo
害,daño
害,lesión
崖,acantilado
崖,precipicio
崖,despeñadero
慨,lamento
慨,pena
慨,entristecerse
概,aproximadamente
概,generalmente
概,condición
概,situación
涯,horizonte
涯,orilla
涯,límite
涯,extremo
街,avenida
街,calle
街,ciudad
該,"lo citado anteriormente"
該,"lo dicho"
該,"lo especificado"
骸,huesos
骸,"restos mortales"
骸,cadáver
馨,perfume
馨,fragancia
垣,cerco
垣,valla
垣,muro
垣,seto
嚇,amenazador
嚇,amenazar
各,"cada uno"
各,cada
各,respectivamente
拡,ensanchar
拡,expandir
拡,extender
拡,aumentar
拡,ampliar
格,estado
格,rango
格,posición
格,regla
格,ley
格,aptitud
格,capacidad
格,carácter
核,semilla
核,núcleo
核,centro
核,meollo
殻,concha
殻,cáscara
殻,"casco (buque)"
獲,agarrar
獲,coger
獲,conseguir
獲,adquirir
獲,ganar
獲,"tocarle (algo) a uno"
確,seguro
確,cierto
確,genuino
確,capaz
確,asegurarse
確,afirmar
穫,cosecha
穫,cosechar
穫,recolectar
覚,memorizar
覚,recordar
覚,despertarse
覚,comprender
覚,aclararse
角,ángulo
角,esquina
角,cuadrado
角,cuerno
較,contrastar
較,comparar
郭,cerco
郭,recinto
郭,fortificación
閣,torre
閣,"edificio alto"
閣,palacio
閣,gabinete
隔,diferencia
隔,distancia
隔,separación
隔,aislamiento
隔,"ser excluido"
隔,"quedarse fuera"
隔,"estar distante"
革,cuero
